Model Type: Base Actor Critic
Window Size: 10
Target KL: 0.002
Max LR: .1
Min LR: 1e-6
Actor Layers: 3
Critic Layers: 3
Action Type: Discrete
Max Positions: 3
Shares To Buy: 1000
Dropout: None
Unrealized Gain: Yes

step avg_rew ev_before ev_after act_loss crit_loss kl_dist avg_ent
178 0.0000 0.6155  0.6165 0.0094  0.5538 0.0004 0.0460
179 0.0000 0.6593  0.6593 0.0161  0.9950 0.0190 0.2252
180 0.0000 0.6929  0.6946 -0.0809  0.8312 0.0153 0.5783
181 0.0000 0.7965  0.8012 0.0024  0.3312 0.0001 0.0514
182 0.0000 0.5706  0.5707 0.0024  0.9180 0.0000 0.0099
183 0.0000 0.3259  0.3252 0.0008  0.8501 0.0000 0.0033
184 0.0000 0.7698  0.7703 -0.0108  0.4952 0.0018 0.0118
185 0.0000 0.2085  0.2072 0.0005  0.8012 0.0000 0.0002
186 0.0000 0.7015  0.7018 -0.0151  1.0825 0.0007 0.0260
187 0.0000 0.1699  0.1692 0.0000  1.1575 0.0000 0.0000
188 0.0000 0.7331  0.7336 -0.0000  0.9445 0.0000 0.0002
189 0.0000 0.4530  0.4525 -0.0000  0.8571 0.0000 0.0000
190 0.0000 0.0939  0.0935 0.0000  0.4220 0.0000 0.0000
191 0.0000 0.8670  0.8687 -0.0016  0.4781 0.0005 0.0025
192 0.0000 0.4172  0.4175 -0.0000  1.0289 0.0000 0.0000
193 0.0000 0.7483  0.7532 -0.0065  0.8350 16.1730 0.0160
194 0.0000 0.5417  0.5423 -0.0000  0.4899 0.0000 0.0000
