Model Type: Base Actor Critic
Window Size: 10
Target KL: 0.002
Max LR: .1
Min LR: 1e-6
Actor Layers: 3
Critic Layers: 3
Action Type: Discrete
Max Positions: 3
Shares To Buy: 1000


step avg_rew ev_before ev_after act_loss crit_loss kl_dist avg_ent
132 1716.9200 -0.0075  -0.0059 -0.0042  153.3041 0.0121 0.5777
133 2271.2700 0.0661  0.0677 0.0025  129.9958 0.0004 0.6057
134 -4216.8800 0.0921  0.1142 -0.0380  179.2054 0.0001 0.7094
135 -337.3800 0.0129  0.0177 -0.0083  179.6861 0.0014 0.5144
136 -89.9800 0.0070  0.0127 -0.0141  175.9889 0.0495 0.7135
137 -4817.5700 0.0149  0.0218 -0.0160  173.3713 0.0252 0.6707
138 -2357.9400 -0.0703  -0.0717 -0.0115  164.7034 0.0001 0.4950
139 -2625.0900 0.0362  0.0376 -0.0229  174.2982 0.0010 0.7237
140 -618.8100 0.0243  0.0219 -0.0089  178.6028 0.0364 0.7503
141 -1818.9700 -0.0602  -0.0568 -0.0095  169.8432 0.0877 0.7725
142 -620.1200 -0.0282  -0.0269 -0.0149  173.5279 0.0001 0.4645
143 -1233.9600 -0.0425  -0.0387 -0.0208  172.8988 0.0013 0.6885
144 -11075.0900 0.0186  0.0292 -0.0301  179.6771 0.0019 0.8379
145 -2400.1200 0.0515  0.0542 -0.0206  170.4451 0.0078 0.7843
146 644.0000 0.0269  0.0296 -0.0010  154.9824 0.0003 0.4342
147 -1322.8000 0.0410  0.0449 -0.0082  171.0401 0.0008 0.5958
148 1431.9000 0.0048  0.0044 -0.0076  167.9943 0.0005 0.4227
149 -1706.2900 -0.0784  -0.0690 -0.0083  159.3339 0.0020 0.5933
150 -716.2800 0.0272  0.0331 -0.0159  189.9698 0.0074 0.7071
100 -39.5200 0.0330  0.0445 -0.0114  190.0730 0.0091 0.6494
101 465.6900 -0.0596  -0.0568 0.0005  159.3945 0.0056 0.6539
102 478.5600 0.0837  0.0872 -0.0043  155.9461 0.0094 0.6863
103 263.2600 -0.0872  -0.0859 -0.0062  159.6896 0.0043 0.6454
104 -2781.6200 0.1241  0.1345 -0.0321  171.4711 0.0006 0.7361
105 1425.3500 -0.0502  -0.0481 -0.0077  145.6110 0.0021 0.5645
106 1609.5000 -0.0819  -0.0823 0.0052  119.7376 0.0049 0.6954
107 -259.0400 0.0249  0.0289 -0.0055  171.1831 0.0005 0.7196
108 1814.8300 0.0148  0.0159 0.0008  133.3778 0.0272 0.6009
109 2762.9700 -0.0711  -0.0707 0.0048  158.4254 0.0003 0.6249
110 -1116.6400 -0.0881  -0.0872 -0.0006  189.3748 0.0004 0.7389
111 597.7900 -0.0205  -0.0187 -0.0021  158.4846 0.0058 0.7223
112 2650.7800 -0.0078  -0.0094 -0.0021  124.5347 0.0264 0.5705
113 -2057.3700 -0.0213  -0.0204 -0.0241  171.2452 0.0111 0.7985
114 -335.9300 0.0041  0.0053 -0.0043  162.0881 0.0010 0.7186
115 -1343.8500 -0.0070  -0.0062 -0.0072  185.7781 0.0002 0.7747
116 -432.9600 -0.0628  -0.0610 -0.0053  170.5805 0.0008 0.7563
117 -444.6000 -0.1742  -0.1703 -0.0221  164.2866 0.0022 0.6327
118 -2248.3000 0.0050  0.0069 -0.0023  183.8789 0.0018 0.8467
119 804.9300 -0.0002  0.0015 0.0148  150.5650 0.0069 0.5354
120 -3070.3100 -0.0039  -0.0037 -0.0077  179.4284 0.0013 0.8345
121 -3233.5000 0.0877  0.0909 -0.0381  170.4254 0.0002 0.7770
122 97.9500 -0.1794  -0.1722 -0.0168  163.3012 0.0071 0.6856
123 -1145.1700 -0.0015  0.0012 -0.0102  176.0721 0.0097 0.8130
124 -4192.6500 -0.0050  -0.0031 -0.0016  174.8118 0.0031 0.8256
125 -3362.3100 -0.0267  -0.0176 -0.0083  180.8276 0.0004 0.8452
126 -1488.7100 -0.0353  -0.0379 -0.0159  191.6919 0.0034 0.7781
127 517.0000 0.0824  0.0876 -0.0071  155.4418 0.0009 0.6554
128 -1015.3500 0.0098  0.0112 -0.0136  167.1502 0.0166 0.7759
129 -3509.8200 -0.0782  -0.0767 -0.0062  155.6740 0.0018 0.8155
130 -2763.6500 -0.0111  -0.0094 -0.0202  178.1298 0.0032 0.7633
131 -6289.7200 -0.0936  -0.0937 -0.0143  183.1211 0.0050 0.8730
132 -3599.2800 -0.0897  -0.0891 -0.0134  181.4765 0.0007 0.8556
133 -1608.6900 0.0236  0.0252 -0.0047  156.1050 0.0004 0.7587
134 1896.5200 0.0469  0.0519 -0.0199  134.5290 0.0119 0.6173
135 -8744.2700 -0.0148  -0.0120 -0.0181  208.7833 0.0001 0.9256
136 -7011.3200 0.0354  0.0358 -0.0074  185.5796 0.0010 0.8387
137 -7953.9100 -0.0336  -0.0320 -0.0150  186.5765 0.0013 0.8697
138 1866.5100 0.0597  0.0605 -0.0215  153.1049 0.0033 0.5326
139 1276.8900 -0.1171  -0.1169 0.0159  143.6453 0.0087 0.3565
140 -5625.9200 -0.0782  -0.0771 -0.0271  196.3697 0.0003 0.8374
141 -2392.4900 0.0101  0.0132 -0.0038  168.1160 0.0030 0.7197
142 1243.3300 0.0248  0.0270 -0.0050  146.3647 0.0017 0.5299
143 81.2900 -0.0426  -0.0382 -0.0165  144.4069 0.0085 0.5462
144 1505.2400 0.0807  0.0832 0.0087  147.5284 0.0123 0.5595
145 373.4500 0.0174  0.0199 0.0058  180.1736 0.0029 0.5664
146 -3537.2600 -0.1165  -0.1038 -0.0173  207.9492 0.0011 0.8066
147 517.6600 0.0399  0.0405 0.0072  158.4188 0.0025 0.5957
148 -439.9600 -0.0173  -0.0172 -0.0083  174.4452 0.0006 0.6390
149 -3873.4400 -0.0553  -0.0449 -0.0129  169.0395 0.0001 0.8023
150 -3565.8800 0.0038  0.0173 -0.0215  187.9670 0.0015 0.8218
151 -6240.4700 0.0802  0.0884 -0.0146  189.5225 0.0011 0.8499
152 -2630.4900 0.0127  0.0285 -0.0041  171.1581 0.0004 0.6698
153 1654.6800 -0.0249  -0.0146 0.0185  177.7726 0.0034 0.5200
154 -4933.1700 0.0527  0.0471 -0.0033  186.1495 0.0024 0.8531
155 -1690.0900 0.0533  0.0541 -0.0145  170.3108 0.0031 0.7655
156 2041.6100 0.0536  0.0542 -0.0054  142.0194 0.0022 0.5306
157 2374.6300 0.0441  0.0490 0.0178  116.6788 0.0050 0.4094
158 -1606.9700 0.0029  0.0036 0.0060  180.4809 0.0077 0.6575
159 -6673.9200 0.0965  0.0973 -0.0159  194.0341 0.0046 0.8619
160 -3451.5900 0.0465  0.0497 -0.0224  182.3784 0.0026 0.8138
161 -4174.3500 0.0955  0.0962 -0.0163  207.8717 0.0002 0.8877
162 -4361.7100 0.0446  0.0445 -0.0188  182.5713 0.0034 0.8196
163 -1171.7000 0.0427  0.0435 -0.0145  173.0416 0.0195 0.7869
164 -5019.6300 -0.0051  -0.0011 -0.0155  205.0636 0.0017 0.8716
165 -2630.2900 0.1859  0.1850 -0.0232  156.6253 0.0009 0.7303
166 449.8200 -0.0282  -0.0273 -0.0077  179.0934 0.0012 0.6571
167 -1657.0200 0.0395  0.0402 -0.0103  158.4921 0.0013 0.7315
168 -110.4600 0.0529  0.0559 -0.0046  179.6893 0.0130 0.7319
169 1142.0400 0.0411  0.0450 -0.0005  155.5245 0.0016 0.6952
170 -922.6400 0.0091  0.0150 -0.0099  194.1507 0.0016 0.8020
171 -869.0300 -0.0098  -0.0069 -0.0035  174.7028 0.0006 0.8128
172 1491.9600 -0.0614  -0.0600 -0.0087  160.2642 0.0014 0.6786
173 -123.0900 0.0402  0.0398 -0.0045  161.1204 0.0005 0.6920
174 -821.5500 0.0820  0.0833 -0.0053  154.6796 0.0003 0.7724
175 252.8100 -0.0318  -0.0316 -0.0082  159.8601 0.0003 0.7366
176 915.1800 -0.0487  -0.0414 -0.0036  153.3339 0.0016 0.6735
177 967.9900 -0.0469  -0.0450 0.0077  172.8036 0.0044 0.7066
178 -2198.6800 0.0574  0.0634 -0.0067  174.1502 0.0213 0.8359
179 -1288.6400 0.1181  0.1195 -0.0237  157.8159 0.0002 0.7380
180 -1214.2300 -0.0158  -0.0159 -0.0052  172.7743 0.0029 0.7758
181 -1068.2000 -0.0110  0.0052 -0.0002  195.3046 0.0087 0.6046
182 -4655.3300 -0.0129  -0.0124 -0.0093  174.9244 0.0002 0.8327
183 -355.7400 0.0804  0.0826 -0.0125  166.5668 0.0009 0.7533
184 -2519.1000 0.0020  0.0045 -0.0115  177.4342 0.0161 0.7732
185 2443.8800 0.0453  0.0454 0.0089  127.8902 0.0109 0.5335
186 44.1750 -0.0262  -0.0251 -0.0037  179.9613 0.0035 0.6123
187 1787.2700 0.0503  0.0538 0.0038  143.8532 0.0290 0.6840
188 -392.5200 0.0333  0.0363 -0.0103  167.1375 0.0001 0.7631
189 -1269.1100 -0.0418  -0.0412 -0.0083  184.6691 0.0004 0.7919
190 -2691.9200 0.0981  0.1009 -0.0214  172.5280 0.0016 0.8355
191 -2580.1000 -0.0217  -0.0202 -0.0144  172.2077 0.0009 0.8010
192 1871.8800 -0.0692  -0.0683 0.0050  107.2570 0.0114 0.6814
193 -235.5300 0.0729  0.0740 -0.0146  158.9869 0.0008 0.8060
194 2076.5700 0.0660  0.0673 -0.0011  144.7096 0.0016 0.7073
195 -625.6200 0.0639  0.0648 -0.0054  171.9985 0.0001 0.7915
196 285.1800 0.0034  0.0192 0.0017  159.6265 0.0511 0.7422
197 1545.9900 0.0082  0.0099 0.0009  149.7233 0.0021 0.7275
198 -27.5400 -0.1443  -0.1419 -0.0097  158.2095 0.0022 0.7616
199 -989.7800 -0.1099  -0.1098 -0.0101  146.0640 0.0015 0.7715
100 -1249.3400 0.0157  0.0151 -0.0091  162.7552 0.0009 0.8046
101 -1440.2000 0.0361  0.0464 -0.0020  176.1382 0.0023 0.8098
102 -1057.4700 -0.0788  -0.0781 -0.0092  155.2317 0.0008 0.7708
103 -780.4000 -0.0149  -0.0136 -0.0108  148.0060 0.0005 0.7387
104 -758.3100 0.0122  0.0123 -0.0134  169.3795 0.0001 0.8155
105 -988.8700 -0.1685  -0.1683 0.0093  161.2556 0.0022 0.7270
106 -751.1100 0.0243  0.0257 -0.0126  177.4762 0.0009 0.7733
107 1097.4800 0.0041  0.0112 -0.0100  177.0594 0.0026 0.7178
108 952.4600 -0.1220  -0.1213 -0.0068  170.2835 0.0005 0.7598
109 -149.5600 0.0271  0.0280 -0.0111  156.8111 0.0006 0.7172
110 -883.7500 -0.0984  -0.0911 -0.0211  155.7768 0.0359 0.7345
111 956.2800 0.1351  0.1364 -0.0043  157.8492 0.0009 0.7338
112 -721.8700 0.0440  0.0443 -0.0055  175.5640 0.0008 0.7232
113 -213.6000 -0.0701  -0.0696 -0.0001  151.5490 0.0001 0.7727
114 731.7900 0.0198  0.0211 -0.0017  162.7676 0.0005 0.7472
115 1152.0700 0.0043  0.0045 -0.0031  166.5303 0.0001 0.7457
116 780.8800 -0.0062  -0.0056 -0.0047  156.9569 0.0088 0.6923
117 2152.1700 0.0064  0.0128 -0.0036  144.2578 0.0001 0.3124
118 37.2900 0.1422  0.1443 -0.0045  156.7507 0.0082 0.7208
119 980.5200 -0.0670  -0.0644 0.0026  155.1919 0.0113 0.6863
120 1087.6300 -0.0436  -0.0430 -0.0009  150.6368 0.0028 0.7293
121 641.3100 0.0794  0.0801 -0.0029  177.3651 0.0033 0.6928
122 297.5000 -0.0509  -0.0492 0.0044  156.9373 0.0004 0.6695
123 2316.9200 -0.0225  -0.0225 0.0127  141.0443 0.0061 0.5437
124 1172.7000 0.1252  0.1256 -0.0072  145.9872 0.0008 0.6303
125 -551.8600 0.0551  0.0560 -0.0077  168.4025 0.0004 0.7894
126 -2148.7300 0.1172  0.1175 -0.0093  175.5674 0.0048 0.8424
127 1569.2700 -0.0252  -0.0202 0.0044  156.3669 0.0062 0.6187
128 -2924.7800 0.0352  0.0359 -0.0095  152.5344 0.0031 0.8221
