Wall time,Step,Value
1536568586.2673013,1578,152.05999755859375
1536568614.2030742,1584,0.0
1536568633.1759436,1588,3927.830078125
1536568675.899963,1597,-1321.93994140625
1536568712.0767064,1604,0.0
1536568716.7620106,1605,3117.860107421875
1536568777.819224,1618,0.0
1536568819.319834,1627,0.0
1536568843.1251004,1632,-1107.030029296875
1536568866.8038266,1637,92.25
1536568880.8699608,1640,2289.5400390625
1536568904.2301474,1645,2657.14990234375
1536568918.3326347,1648,2048.530029296875
1536568976.9635508,1660,3546.929931640625
1536569018.6104214,1668,3580.9599609375
1536569050.6788452,1675,3039.56005859375
1536569083.0329664,1682,0.0
1536569124.480946,1691,0.0
1536569142.919638,1695,0.0
1536569147.5442445,1696,4428.06982421875
1536569152.0754497,1697,0.0
1536569161.2831676,1699,1205.8599853515625
1536569178.282263,1702,3395.080078125
1536569210.4507046,1709,2734.14990234375
1536569251.8364162,1718,3036.25
1536569297.4149396,1728,0.0
1536569315.5535028,1732,1415.969970703125
1536569324.7385411,1734,-210.44000244140625
1536569338.4482872,1737,4710.64990234375
1536569361.3566136,1742,-2887.8701171875
1536569375.2630987,1745,2251.5
1536569379.830156,1746,-3472.27001953125
1536569384.4451687,1747,3824.010009765625
1536569474.7367048,1766,0.0
1536569516.253374,1775,601.8400268554688
1536569544.2739742,1781,1526.3499755859375
1536569576.3380282,1788,291.8800048828125
1536569581.1142106,1789,929.02001953125
1536569622.9179122,1798,-494.9700012207031
1536569658.5776033,1805,23.889999389648438
1536569714.1840236,1817,2244.8798828125
1536569756.0523129,1826,768.97998046875
1536569774.6087215,1830,0.0
1536569825.2980928,1840,4854.77978515625
1536569843.7237813,1844,0.0
1536569866.7209198,1849,-625.3499755859375
1536569888.1408892,1853,35.41999816894531
1536569948.1986272,1866,0.0
1536569964.643504,1869,388.5199890136719
1536569992.5293386,1875,-2046.02001953125
1536569997.0961592,1876,0.0
1536570001.6973107,1877,0.0
1536570161.386744,1911,0.0
1536570189.1046977,1917,285.92999267578125
1536570267.7161405,1934,5655.8701171875
1536570276.9626298,1936,0.0
1536570286.195206,1938,0.0
1536570313.9466357,1944,975.3300170898438
1536570328.0737612,1947,-2804.159912109375
1536570337.5794404,1949,-1294.9300537109375
1536570427.136757,1967,-2191.02001953125
1536570492.4558382,1981,1612.6700439453125
1536570501.692058,1983,4307.5400390625
1536570588.4937117,2001,0.0
1536570607.0913985,2005,-4628.18994140625
1536570644.1073146,2013,2521.929931640625
1536570662.6165583,2017,0.0
1536570708.8062334,2027,630.5499877929688
1536570723.1141624,2030,-2457.81005859375
1536570737.1498199,2033,2872.97998046875
1536570751.0591784,2036,0.0
1536570865.6838768,2060,-3062.93994140625
1536570921.3948612,2072,3718.85009765625
1536570926.0814106,2073,-356.5199890136719
1536570940.018241,2076,-81.12999725341797
1536570944.7504017,2077,1207.93994140625
1536570954.0634742,2079,2701.1201171875
1536570963.265206,2081,0.0
1536570981.8080022,2085,437.7799987792969
1536571000.485785,2089,-2115.699951171875
1536571024.9971943,2094,3324.570068359375
1536571034.3867612,2096,0.0
1536571108.1040041,2111,0.0
1536571265.8454454,2145,0.0
1536571284.3609736,2149,0.0
1536571297.2184784,2151,796.5700073242188
1536571320.4763713,2156,-171.5500030517578
1536571362.2775993,2165,-2044.6500244140625
1536571399.379533,2173,-934.2999877929688
1536571417.8335118,2177,2642.340087890625
1536571463.917137,2187,-724.8599853515625
1536571473.2140017,2189,2671.780029296875
1536571482.2912002,2191,0.0
1536571486.8111062,2192,0.0
1536571505.288353,2196,670.1199951171875
1536571519.24223,2199,308.5299987792969
1536571559.6516943,2207,4132.47998046875
1536571578.1366534,2211,0.0
1536571643.8029222,2225,1026.8900146484375
1536571672.0229058,2231,450.7900085449219
1536571695.4562469,2236,6165.93994140625
1536571700.1390002,2237,0.0
1536571709.4636557,2239,3540.330078125
1536571723.4901361,2242,-1174.260009765625
1536571732.8669074,2244,2449.60009765625
1536571742.2510133,2246,-4587.0
1536571746.9120214,2247,0.0
1536571784.349484,2254,-1587.0
1536571798.3509037,2257,61.02000045776367
1536571821.712452,2262,2484.699951171875
1536571910.2808998,2281,0.0
1536571957.033404,2291,0.0
1536571984.899113,2297,3567.280029296875
1536572017.3032985,2303,0.0
1536572036.1388602,2307,2632.919921875
1536572040.8388467,2308,-2682.18994140625
1536572092.5539,2319,4097.77001953125
1536572097.2937257,2320,2701.780029296875
1536572175.3862576,2335,0.0
